node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940617257985,0,0,0,AVLP.11,LHAD1g1(HB)
720575940618603009,0,0,4,AVLP.68,VLPp1; left
720575940627297284,0,0,5,AVLP.98,nan
720575940628895750,0,0,1,SLP.PLP.1,nan
720575940624973831,1,0,4,LO.AVLP.5,Lobula Tangential neuron 1; LT1; FBbt_00003860
720575940628251146,0,0,3,LO.59,#temp_NewType Lobula Intrinsic 103_24; Li103_24
720575940609598475,0,0,3,LO.31,#temp_NewType Lobula Intrinsic 115_3; Li115_3
720575940624712206,0,0,1,SLP.SCL.1,nan
720575940632463890,0,0,2,AVLP.123,nan
720575940626848275,0,5,5,AVLP.60,nan
720575940644275223,0,0,6,AVLP.291,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940621195290,0,0,6,LO.AVLP.20,LT87 
720575940618932763,0,0,6,AVLP.24,nan
720575940647436835,0,5,2,AVLP.87,nan
720575940624394790,0,0,6,AVLP.36,ventral unpaired medial/VUM?
720575940625912871,0,0,4,GNG.AVLP.1,nan
720575940622339113,0,0,5,PVLP.36,DL1_ventral; left
720575940623608361,0,0,3,ME.LO.3,#temp_NewType Medulla Lobula 101_M89-L235; ML101_M89-L235
720575940630086698,0,0,3,AVLP.48,VLPl&d1_lateral; left; acetylcholine
720575940631153194,0,0,2,AVLP.63,AVLP_pr23
720575940625096240,0,0,3,AVLP.43,nan
720575940620330545,0,4,4,AVLP.45,nan
720575940625871408,0,0,0,GNG.5,unclassified_IN_FW_22
720575940614087219,0,0,4,GNG.AVLP.3,nan
720575940615255603,0,0,6,AVLP.20,nan
720575940647952948,0,0,0,SAD.IPS.2,VLPa2; left; gaba
720575940631842360,0,0,6,AVLP.13,LHAD1g1(HB)
720575940629970489,0,0,3,PLP.AVLP.9,WEDa2; left
720575940630733884,0,0,6,AVLP.110,VLPl2_ventral; left; glutamate
720575940615723077,0,0,0,AMMC.WED.1,"AMMC-B1, left"
720575940625310793,0,0,3,PLP.AVLP.11,WEDa2; left
720575940630643275,0,0,3,AVLP.86,VLPl2_ventral; left; acetylcholine
720575940624394317,0,0,0,PLP.AVLP.6,WEDa2; left
720575940617932368,0,0,0,AVLP.71,nan
720575940618987600,0,0,4,PVLP.AVLP.1,VLPl&p1_posterior; right; acetylcholine
720575940617691734,4,0,4,LO.AVLP.10,Lobula Tangential neuron 1; LT1; FBbt_00003860
720575940621132894,5,0,2,AVLP.52,nan
720575940622048862,0,0,1,SLP.AVLP.1,unclassified_IN_FW_34_left
720575940620943969,0,0,6,AVLP.91,AVLP370 
720575940628200551,0,0,3,PVLP.AVLP.2,nan
720575940628865644,0,0,1,AVLP.23,pC1d_TopInputs (Neuprint1.1 AVLP029)
