node_id,send_cluster,recv_cluster,mod_cluster,name,community_label
720575940628695043,4,4,2,SMP.LAL.6,CREa2_ventral; right
720575940628455942,4,4,2,SMP.LAL.4,nan
720575940623788040,1,6,1,AL.11,"AL local neuron,ALLN"
720575940623792648,4,4,0,AL.98,ALl1_dorsal; left
720575940632403986,4,4,0,AL.5," il3LN6, Keystone"
720575940627927573,1,1,1,AL.28,"AL local neuron,ALLN"
720575940624155672,4,4,2,SMP.CRE.5,DL1_dorsal; right
720575940619071005,4,4,0,AL.MB_CA.4,ALl1_dorsal; left; acetylcholine
720575940633483807,1,1,1,AL.21,ALl1_dorsal; right
720575940617537570,1,1,1,AL.64,ALl1_dorsal; right
720575940617749538,3,4,2,MB_PED.CRE.1,"MBON11-LHS, y1pedc>a/B, FBbt_00100246"
720575940618757666,1,6,1,AL.30,ALl1_dorsal; right; serotonin
720575940613792296,4,4,2,LH.MB_VL.1,nan
720575940614956072,4,4,0,AL.17,ALv2; left; acetylcholine
720575940623201833,5,4,2,MB_PED.MB_ML.1,"MBON11-RHS, y1pedc>a/B, FBbt_00100246"
720575940631586858,1,1,1,AL.42,ALl1_dorsal; right
720575940630571052,1,1,1,AL.66,ALl1_dorsal; right
720575940632416298,1,1,1,AL.16,ALl1_dorsal; right
720575940616758322,4,4,0,AL.25,"AL local neuron,ALLN"
720575940630945335,1,1,1,AL.58,ALl1_dorsal; right
720575940631758393,4,4,2,SMP.MB_ML.1,MBON?
720575940626768442,4,4,2,PLP.SMP.1,"Putative AN; Part of comprehensive neck connective tracing, contact Connectomics Group Cambridge for more detailed information on descending/ascending neurons"
720575940626143806,4,1,1,AL.LH.4,"ALPN,V_ilPN"
720575940636873791,1,1,1,AL.MB_CA.13,ALad1; right; acetylcholine
720575940615160386,4,4,0,AL.LH.18,"ALPN,VL1_ilPN"
720575940611079236,1,1,1,AL.MB_CA.6,"ALPN,VA2_adPN"
720575940620975696,5,2,2,MB_ML.2,DPM-RHS
720575940631603281,4,4,0,AL.69,ALl1_dorsal; left
720575940619863125,4,4,2,LH.6,LHCENT8#1-L
720575940631899223,1,1,1,AL.52,ALl1_dorsal; right
720575940621298270,1,1,1,AL.48,ALl1_dorsal; right
720575940635066975,4,4,0,AL.57,"ALPN,VP1m_l2PN"
720575940631287912,1,1,1,AL.79,ALl1_dorsal; right
720575940616169578,1,6,1,AL.8,ALl1_dorsal; right
720575940630546540,1,4,1,AL.LH.3,"ALPN,V_ilPN"
720575940645304430,4,4,2,MB_VL.SMP.6,"MBON13-RHS, a`2, FBbt_00100239"
720575940622726271,4,4,0,AL.MB_CA.2,not a neuron
720575940660217473,1,1,1,AL.40,ALl1_dorsal; right
720575940648633988,4,4,0,AL.77,ALl1_dorsal; left; acetylcholine
720575940648650884,1,1,1,AL.MB_CA.10,ALad1; right
720575940622999688,4,4,2,SMP.CRE.4,nan
720575940624206472,1,4,1,SMP.AL.1,SMPpv2; left
720575940623387786,4,4,2,SMP.CRE.2,nan
720575940631423116,1,1,1,AL.60,ALl1_dorsal; right
720575940631704716,4,4,0,AL.78,ALl1_dorsal; left
720575940643309197,4,4,2,MB_ML.SMP.2,SMPad3; left; glutamate
720575940634034839,1,1,1,AL.68,ALl1_dorsal; right
720575940613583001,4,3,2,MB_ML.MB_CA.1,APL-LHS
720575940613635737,4,4,2,PLP.13,"OA-VUMa6 (mx); Busch et al., 2009"
720575940612284569,1,1,1,AL.MB_CA.11,ALl1_ventral; right
720575940618295454,1,1,1,AL.LH.8,ALad1; right; acetylcholine
720575940632943277,4,4,2,SMP.LAL.3,"MBON35-LHS, y2, FBbt_00049855"
720575940613203119,4,4,0,AL.MB_CA.26,"ALPN,multi_ivPN"
720575940612347571,4,4,0,AL.71,ALl1_dorsal; left
720575940636576948,4,4,1,LH.AL.2,"ALPN,multi_VUMa2"
720575940622338742,4,4,0,AL.86,ALl1_dorsal; left
720575940616197819,4,4,0,AL.75,ALl1_dorsal; left
720575940617299131,4,4,0,AL.46,ALl1_dorsal; left
720575940605758142,4,0,0,AL.14,ALl1_dorsal; left
720575940635468991,1,1,1,LH.5,LHPV12a1
720575940620464321,4,4,2,CRE.1,"MBON04-LHS, B`2mp_bilateral, FBbt_00111014"
720575940630914245,3,4,2,PLP.MB_CA.1,nan
720575940615886534,4,4,2,SLP.3,LHCENT6#1-L
720575940629011655,4,4,1,AL.50,"ALPN,VP1d_il2PN"
720575940631942341,4,4,0,LH.AL.1,"ALPN,multi_VUMa2"
720575940606722249,4,4,0,AL.45,"AL local neuron,ALLN"
720575940619411147,1,1,1,AL.24,ALl1_ventral; right
720575940623137997,4,4,0,AL.72,ALl1_dorsal; left
720575940623146701,4,4,0,AL.27,ALl1_dorsal; left
720575940618308825,1,1,1,AL.MB_CA.1,ALad1; right; acetylcholine
720575940641593051,1,1,1,AL.76,ALl1_dorsal; right
720575940630407388,4,0,0,AL.12,"AL local neuron,ALLN"
720575940623636701,4,1,1,AL.6," il3LN6, Keystone"
720575940637594334,4,4,0,AL.LH.6,ALad1; left; acetylcholine
720575940642506459,4,4,2,SMP.CRE.3,DL1_dorsal; left
720575940633626337,4,4,2,SLP.LH.1,LHCENT2#1-L
720575940634545890,0,4,0,AL.4,"AL local neuron,ALLN"
720575940613804259,4,0,0,AL.32,ALl1_dorsal; left
720575940624694503,4,4,2,MB_ML.CRE.6,"MBON03-LHS, B`2mp, FBbt_00100232"
720575940624832743,4,4,0,AL.93,ALl1_dorsal; left
720575940625419495,4,4,2,LH.8,nan
720575940621398254,1,1,1,AL.26,"AL local neuron,ALLN"
720575940621551854,4,4,0,AL.20,"AL local neuron,ALLN"
720575940631103744,4,4,2,SMP.4,nan
720575940626315010,4,4,2,MB_VL.SMP.5,"MBON13-LHS, a`2, FBbt_00100239"
720575940627690246,1,1,1,AL.44,"AL local neuron,ALLN"
720575940609282825,0,4,0,AL.3,"AL local neuron,ALLN"
720575940625934094,3,4,2,MB_ML.3,DPM-LHS
720575940621457690,4,4,2,SMP.3,nan
720575940623000858,6,1,1,AL.2,ALl1_dorsal; right
720575940626342174,4,4,0,AL.85,ALl1_dorsal; left; acetylcholine
720575940624547622,2,5,2,MB_ML.1,APL-RHS
720575940624879911,4,4,0,AL.MB_CA.8,ALl1_ventral; left
720575940632197930,1,1,1,AL.81,ALl1_dorsal; right
720575940646576436,4,0,0,AL.36,ALl1_dorsal; left
720575940618112310,4,4,0,AL.61,ALl1_dorsal; left
720575940630075703,4,4,2,MB_VL.SMP.7,"MBON12-RHS, y2a`1, FBbt_00111009"
720575940615708482,4,4,0,AL.97,ALl1_dorsal; left
720575940611090244,4,4,2,LH.7,LHCENT8#2-L
720575940619134789,4,4,2,SMP.CRE.1,nan
720575940627594568,4,4,2,MB_VL.MB_ML.1,"PPL103-RHS, y2a`1, FBbt_00100241"
720575940628059978,4,4,0,AL.41,ALl1_dorsal; left
720575940619895125,1,1,1,AL.LH.21,ALad1; right; acetylcholine
720575940638128474,1,6,1,AL.9,"AL local neuron,ALLN"
720575940621529435,4,4,0,AL.MB_CA.7,ALad1; left; acetylcholine
720575940621542747,4,4,0,AL.47,ALl1_dorsal; left
